date, DJ close, DJ % change, Unemployment, Unemployment % change, civilian rate, civilian % change, bank borrowing, bank borrowing % change
Tue Feb 26 22:00:00 EST 1985,1329.306226,0.0999999813249976,7.2,0.0,64.7,0.0,307846.8,0.0
Wed Feb 27 22:00:00 EST 1985,1330.635533,0.10000005822585921,7.2,0.0,64.7,0.0,312227.0,1.4228505867204115
Thu Feb 28 22:00:00 EST 1985,1331.966168,0.0999999599439548,7.2,0.0,64.7,0.0,312227.0,0.0
Fri Mar 01 22:00:00 EST 1985,1333.298134,0.09999998738706446,7.2,0.0,64.9,0.30911901081916976,312227.0,0.0
Sat Mar 02 22:00:00 EST 1985,1334.632766,0.1001000425910786,7.2,0.0,64.9,0.0,312227.0,0.0
Sun Mar 03 22:00:00 EST 1985,1335.967398,0.09999994260593899,7.2,0.0,64.9,0.0,312227.0,0.0
Mon Mar 04 22:00:00 EST 1985,1337.30203,0.09990004262065502,7.2,0.0,64.9,0.0,312227.0,0.0
Tue Mar 05 22:00:00 EST 1985,1338.639332,0.09999999775667048,7.2,0.0,64.9,0.0,312227.0,0.0
Wed Mar 06 22:00:00 EST 1985,1339.977971,0.09999997519870105,7.2,0.0,64.9,0.0,302096.9,-3.2444663658171704
Thu Mar 07 22:00:00 EST 1985,1341.317949,0.10000000216421272,7.2,0.0,64.9,0.0,302096.9,0.0
Fri Mar 08 22:00:00 EST 1985,1342.659267,0.10000000380223058,7.2,0.0,64.9,0.0,302096.9,0.0
Sat Mar 09 22:00:00 EST 1985,1344.0032693333333,0.10010003031791272,7.2,0.0,64.9,0.0,302096.9,0.0
Sun Mar 10 22:00:00 EST 1985,1345.3472716666665,0.09999993035730716,7.2,0.0,64.9,0.0,302096.9,0.0
Mon Mar 11 22:00:00 EST 1985,1346.691274,0.09990003039650065,7.2,0.0,64.9,0.0,302096.9,0.0
Tue Mar 12 22:00:00 EST 1985,1348.037966,0.10000005390991161,7.2,0.0,64.9,0.0,302096.9,0.0
Wed Mar 13 22:00:00 EST 1985,1349.386004,0.1000000025221738,7.2,0.0,64.9,0.0,307361.7,1.742752077230845
Thu Mar 14 22:00:00 EST 1985,1350.73539,0.09999999970357593,7.2,0.0,64.9,0.0,307361.7,0.0
Fri Mar 15 22:00:00 EST 1985,1352.086125,0.09999997112683824,7.2,0.0,64.9,0.0,307361.7,0.0
Sat Mar 16 22:00:00 EST 1985,1353.4395636666668,0.10010003369177105,7.2,0.0,64.9,0.0,307361.7,0.0
Sun Mar 17 22:00:00 EST 1985,1354.7930023333333,0.09999993372440434,7.2,0.0,64.9,0.0,307361.7,0.0
Mon Mar 18 22:00:00 EST 1985,1356.146441,0.0999000337568736,7.2,0.0,64.9,0.0,307361.7,0.0
Tue Mar 19 22:00:00 EST 1985,1357.502587,0.09999996748137711,7.2,0.0,64.9,0.0,307361.7,0.0
Wed Mar 20 22:00:00 EST 1985,1358.86009,0.10000003042351119,7.2,0.0,64.9,0.0,301744.5,-1.8275536607196057
Thu Mar 21 22:00:00 EST 1985,1360.21895,0.09999999337680524,7.2,0.0,64.9,0.0,301744.5,0.0
Fri Mar 22 22:00:00 EST 1985,1361.579169,0.1000000036758893,7.2,0.0,64.9,0.0,301744.5,0.0
Sat Mar 23 22:00:00 EST 1985,1362.9421103333334,0.10010004297688477,7.2,0.0,64.9,0.0,301744.5,0.0
Sun Mar 24 22:00:00 EST 1985,1364.3050516666667,0.09999994299097395,7.2,0.0,64.9,0.0,301744.5,0.0
Mon Mar 25 22:00:00 EST 1985,1365.667993,0.09990004300492106,7.2,0.0,64.9,0.0,301744.5,0.0
Tue Mar 26 22:00:00 EST 1985,1367.033661,0.10000000051256339,7.2,0.0,64.9,0.0,301744.5,0.0
Wed Mar 27 22:00:00 EST 1985,1368.400694,0.09999995164713009,7.2,0.0,64.9,0.0,305828.5,1.3534629463005954
Thu Mar 28 22:00:00 EST 1985,1369.769095,0.10000002236188403,7.2,0.0,64.9,0.0,305828.5,0.0
Fri Mar 29 22:00:00 EST 1985,1371.138864,0.09999999306451761,7.2,0.0,64.9,0.0,305828.5,0.0
Sat Mar 30 22:00:00 EST 1985,1372.5113746666666,0.10010004841249874,7.2,0.0,64.9,0.0,305828.5,0.0
Sun Mar 31 22:00:00 EST 1985,1373.8838853333332,0.09999994841572211,7.2,0.0,64.9,0.0,305828.5,0.0
Mon Apr 01 22:00:00 EST 1985,1375.256396,0.09990004841885256,7.3,1.388888888888884,64.9,0.0,305828.5,0.0
Tue Apr 02 22:00:00 EST 1985,1376.631652,0.09999997120537192,7.3,0.0,64.9,0.0,305828.5,0.0
Wed Apr 03 22:00:00 EST 1985,1378.008284,0.1000000252790913,7.3,0.0,64.9,0.0,282298.2,-7.693952656472497
Thu Apr 04 22:00:00 EST 1985,1379.386292,0.09999997939053819,7.3,0.0,64.9,0.0,282298.2,0.0
Fri Apr 05 22:00:00 EST 1985,1380.76774875,0.1001500999402492,7.3,0.0,64.9,0.0,282298.2,0.0
Sat Apr 06 22:00:00 EST 1985,1382.1492055,0.10004989986554375,7.3,0.0,64.9,0.0,282298.2,0.0
Sun Apr 07 22:00:00 EST 1985,1383.5306622500002,0.09994990009058739,7.3,0.0,64.9,0.0,282298.2,0.0
Mon Apr 08 22:00:00 EST 1985,1384.912119,0.09985010001536525,7.3,0.0,64.9,0.0,282298.2,0.0
Tue Apr 09 22:00:00 EST 1985,1386.297031,0.09999999140739599,7.3,0.0,64.9,0.0,282298.2,0.0
Wed Apr 10 22:00:00 EST 1985,1387.683328,0.09999999776382795,7.3,0.0,64.9,0.0,280769.6,-0.5414841469056604
Thu Apr 11 22:00:00 EST 1985,1389.071011,0.09999997636347796,7.3,0.0,64.9,0.0,280769.6,0.0
Fri Apr 12 22:00:00 EST 1985,1390.460082,0.09999999920810801,7.3,0.0,64.9,0.0,280769.6,0.0
Sat Apr 13 22:00:00 EST 1985,1391.8519330000001,0.10010003293284675,7.3,0.0,64.9,0.0,280769.6,0.0
Sun Apr 14 22:00:00 EST 1985,1393.2437840000002,0.09999993296701394,7.3,0.0,64.9,0.0,280769.6,0.0
Mon Apr 15 22:00:00 EST 1985,1394.635635,0.0999000330009626,7.3,0.0,64.9,0.0,280769.6,0.0
Tue Apr 16 22:00:00 EST 1985,1396.030271,0.1000000261717098,7.3,0.0,64.9,0.0,280769.6,0.0
Wed Apr 17 22:00:00 EST 1985,1397.426301,0.09999998058780506,7.3,0.0,64.9,0.0,281740.6,0.3458351616414313
Thu Apr 18 22:00:00 EST 1985,1398.823728,0.10000005002053464,7.3,0.0,64.9,0.0,281740.6,0.0
Fri Apr 19 22:00:00 EST 1985,1400.222551,0.09999994795627265,7.3,0.0,64.9,0.0,281740.6,0.0
Sat Apr 20 22:00:00 EST 1985,1401.6241743333335,0.10010003997810334,7.3,0.0,64.9,0.0,281740.6,0.0
Sun Apr 21 22:00:00 EST 1985,1403.0257976666667,0.09999993999817085,7.3,0.0,64.9,0.0,281740.6,0.0
Mon Apr 22 22:00:00 EST 1985,1404.427421,0.09990004001811081,7.3,0.0,64.9,0.0,281740.6,0.0
Tue Apr 23 22:00:00 EST 1985,1405.831848,0.09999997002336665,7.3,0.0,64.9,0.0,281740.6,0.0
Wed Apr 24 22:00:00 EST 1985,1407.23768,0.1000000108120981,7.3,0.0,64.9,0.0,280508.7,-0.4372461760924642
Thu Apr 25 22:00:00 EST 1985,1408.644918,0.10000002273958487,7.3,0.0,64.9,0.0,280508.7,0.0
Fri Apr 26 22:00:00 EST 1985,1410.053563,0.10000000582119578,7.3,0.0,64.9,0.0,280508.7,0.0
Sat Apr 27 22:00:00 EST 1985,1411.465027,0.10010002719308213,7.3,0.0,64.9,0.0,280508.7,0.0
Sun Apr 28 22:00:00 EDT 1985,1412.876491,0.09999992723872311,7.3,0.0,64.9,0.0,280508.7,0.0
Mon Apr 29 22:00:00 EDT 1985,1414.287955,0.09990002728412753,7.3,0.0,64.9,0.0,280508.7,0.0
Tue Apr 30 22:00:00 EDT 1985,1415.702243,0.10000000318180904,7.3,0.0,64.9,0.0,280508.7,0.0
Wed May 01 22:00:00 EDT 1985,1417.117945,0.0999999828353744,7.2,-1.3698630136986254,64.8,-0.15408320493067568,285804.9,1.8880697817928682
Thu May 02 22:00:00 EDT 1985,1418.535063,0.10000000388112178,7.2,0.0,64.8,0.0,285804.9,0.0
Fri May 03 22:00:00 EDT 1985,1419.953598,0.09999999555879993,7.2,0.0,64.8,0.0,285804.9,0.0
Sat May 04 22:00:00 EDT 1985,1421.374972,0.10010003157863855,7.2,0.0,64.8,0.0,285804.9,0.0
Sun May 05 22:00:00 EDT 1985,1422.796346,0.09999993161551281,7.2,0.0,64.8,0.0,285804.9,0.0
Mon May 06 22:00:00 EDT 1985,1424.21772,0.09990003165217674,7.2,0.0,64.8,0.0,285804.9,0.0
Tue May 07 22:00:00 EDT 1985,1425.641938,0.10000001965990724,7.2,0.0,64.8,0.0,285804.9,0.0
Wed May 08 22:00:00 EDT 1985,1427.06758,0.10000000434891283,7.2,0.0,64.8,0.0,291818.1,2.1039527313912227
Thu May 09 22:00:00 EDT 1985,1428.494648,0.10000002943099516,7.2,0.0,64.8,0.0,291818.1,0.0
Fri May 10 22:00:00 EDT 1985,1429.923142,0.09999995463756198,7.2,0.0,64.8,0.0,291818.1,0.0
Sat May 11 22:00:00 EDT 1985,1431.3544956666667,0.10010004206691897,7.2,0.0,64.8,0.0,291818.1,0.0
Sun May 12 22:00:00 EDT 1985,1432.7858493333333,0.09999994208282717,7.2,0.0,64.8,0.0,291818.1,0.0
Mon May 13 22:00:00 EDT 1985,1434.217203,0.09990004209858787,7.2,0.0,64.8,0.0,291818.1,0.0
Tue May 14 22:00:00 EDT 1985,1435.65142,0.09999998584593672,7.2,0.0,64.8,0.0,291818.1,0.0
Wed May 15 22:00:00 EDT 1985,1437.087072,0.10000004039978719,7.2,0.0,64.8,0.0,297957.3,2.1037762907784034
Thu May 16 22:00:00 EDT 1985,1438.524159,0.09999999498986653,7.2,0.0,64.8,0.0,297957.3,0.0
Fri May 17 22:00:00 EDT 1985,1439.962683,0.09999998894699937,7.2,0.0,64.8,0.0,297957.3,0.0
Sat May 18 22:00:00 EDT 1985,1441.404086,0.10010002460598742,7.2,0.0,64.8,0.0,297957.3,0.0
Sun May 19 22:00:00 EDT 1985,1442.845489,0.09999992465679998,7.2,0.0,64.8,0.0,297957.3,0.0
Mon May 20 22:00:00 EDT 1985,1444.286892,0.09990002470736052,7.2,0.0,64.8,0.0,297957.3,0.0
Tue May 21 22:00:00 EDT 1985,1445.731179,0.10000000747774086,7.2,0.0,64.8,0.0,297957.3,0.0
Wed May 22 22:00:00 EDT 1985,1447.17691,0.09999998761870764,7.2,0.0,64.8,0.0,300278.8,0.7791384872933136
Thu May 23 22:00:00 EDT 1985,1448.624087,0.10000000621900543,7.2,0.0,64.8,0.0,300278.8,0.0
Fri May 24 22:00:00 EDT 1985,1450.072711,0.09999999399430869,7.2,0.0,64.8,0.0,300278.8,0.0
Sat May 25 22:00:00 EDT 1985,1451.52496025,0.1001500986111601,7.2,0.0,64.8,0.0,300278.8,0.0
Sun May 26 22:00:00 EDT 1985,1452.9772095,0.10004989853911281,7.2,0.0,64.8,0.0,300278.8,0.0
Mon May 27 22:00:00 EDT 1985,1454.4294587499999,0.09994989876679103,7.2,0.0,64.8,0.0,300278.8,0.0
Tue May 28 22:00:00 EDT 1985,1455.881708,0.09985009869424323,7.2,0.0,64.8,0.0,300278.8,0.0
Wed May 29 22:00:00 EDT 1985,1457.33759,0.10000002005658838,7.2,0.0,64.8,0.0,290074.5,-3.3982752029114236
Thu May 30 22:00:00 EDT 1985,1458.794928,0.10000002813349074,7.2,0.0,64.8,0.0,290074.5,0.0
Fri May 31 22:00:00 EDT 1985,1460.253723,0.10000000493558127,7.2,0.0,64.8,0.0,290074.5,0.0
Sat Jun 01 22:00:00 EDT 1985,1461.7154373333333,0.10010002442111547,7.4,2.77777777777778,64.6,-0.3086419753086464,290074.5,0.0
Sun Jun 02 22:00:00 EDT 1985,1463.1771516666668,0.09999992447231316,7.4,0.0,64.6,0.0,290074.5,0.0
Mon Jun 03 22:00:00 EDT 1985,1464.638866,0.09990002452322656,7.4,0.0,64.6,0.0,290074.5,0.0
Tue Jun 04 22:00:00 EDT 1985,1466.103505,0.10000000914901529,7.4,0.0,64.6,0.0,290074.5,0.0
Wed Jun 05 22:00:00 EDT 1985,1467.569608,0.09999996555495413,7.4,0.0,64.6,0.0,303506.3,4.630465621762681
Thu Jun 06 22:00:00 EDT 1985,1469.037178,0.10000002671083001,7.4,0.0,64.6,0.0,303506.3,0.0
Fri Jun 07 22:00:00 EDT 1985,1470.506215,0.09999998788322506,7.4,0.0,64.6,0.0,303506.3,0.0
Sat Jun 08 22:00:00 EDT 1985,1471.9781923333335,0.10010004162637086,7.4,0.0,64.6,0.0,303506.3,0.0
Sun Jun 09 22:00:00 EDT 1985,1473.4501696666666,0.09999994164314426,7.4,0.0,64.6,0.0,303506.3,0.0
Mon Jun 10 22:00:00 EDT 1985,1474.922147,0.09990004165979843,7.4,0.0,64.6,0.0,303506.3,0.0
Tue Jun 11 22:00:00 EDT 1985,1476.397069,0.09999999003337944,7.4,0.0,64.6,0.0,303506.3,0.0
Wed Jun 12 22:00:00 EDT 1985,1477.873466,0.09999999532645416,7.4,0.0,64.6,0.0,297320.5,-2.0381125531825828
Thu Jun 13 22:00:00 EDT 1985,1479.351339,0.09999996846821019,7.4,0.0,64.6,0.0,297320.5,0.0
Fri Jun 14 22:00:00 EDT 1985,1480.830691,0.10000004468173433,7.4,0.0,64.6,0.0,297320.5,0.0
Sat Jun 15 22:00:00 EDT 1985,1482.313003,0.10010003230005264,7.4,0.0,64.6,0.0,297320.5,0.0
Sun Jun 16 22:00:00 EDT 1985,1483.7953149999998,0.09999993233546944,7.4,0.0,64.6,0.0,297320.5,0.0
Mon Jun 17 22:00:00 EDT 1985,1485.277627,0.09990003237071096,7.4,0.0,64.6,0.0,297320.5,0.0
Tue Jun 18 22:00:00 EDT 1985,1486.762904,0.09999995778566968,7.4,0.0,64.6,0.0,297320.5,0.0
Wed Jun 19 22:00:00 EDT 1985,1488.249667,0.10000000645698853,7.4,0.0,64.6,0.0,304800.7,2.5158709204377137
Thu Jun 20 22:00:00 EDT 1985,1489.737917,0.1000000223752699,7.4,0.0,64.6,0.0,304800.7,0.0
Fri Jun 21 22:00:00 EDT 1985,1491.227655,0.10000000557144902,7.4,0.0,64.6,0.0,304800.7,0.0
Sat Jun 22 22:00:00 EDT 1985,1492.7203743333332,0.10010003022196487,7.4,0.0,64.6,0.0,304800.7,0.0
Sun Jun 23 22:00:00 EDT 1985,1494.2130936666667,0.09999993026156635,7.4,0.0,64.6,0.0,304800.7,0.0
Mon Jun 24 22:00:00 EDT 1985,1495.705813,0.09990003030091893,7.4,0.0,64.6,0.0,304800.7,0.0
Tue Jun 25 22:00:00 EDT 1985,1497.201519,0.10000001250245374,7.4,0.0,64.6,0.0,304800.7,0.0
Wed Jun 26 22:00:00 EDT 1985,1498.69872,0.09999996533533652,7.4,0.0,64.6,0.0,299129.6,-1.8605928398458518
Thu Jun 27 22:00:00 EDT 1985,1500.197419,0.10000001868287361,7.4,0.0,64.6,0.0,299129.6,0.0
Fri Jun 28 22:00:00 EDT 1985,1501.697617,0.10000003872823318,7.4,0.0,64.6,0.0,299129.6,0.0
Sat Jun 29 22:00:00 EDT 1985,1503.2008166666667,0.10010002344344533,7.4,0.0,64.6,0.0,299129.6,0.0
Sun Jun 30 22:00:00 EDT 1985,1504.7040163333334,0.09999992349658184,7.4,0.0,64.6,0.0,299129.6,0.0
Mon Jul 01 22:00:00 EDT 1985,1506.207216,0.09990002354945932,7.4,0.0,64.7,0.15479876160992034,299129.6,0.0
Tue Jul 02 22:00:00 EDT 1985,1507.713423,0.09999998565933732,7.4,0.0,64.7,0.0,299129.6,0.0
Wed Jul 03 22:00:00 EDT 1985,1509.221137,0.10000003826987737,7.4,0.0,64.7,0.0,310572.5,3.8253987569267713
Thu Jul 04 22:00:00 EDT 1985,1510.7311125,0.10004998359628126,7.4,0.0,64.7,0.0,310572.5,0.0
Fri Jul 05 22:00:00 EDT 1985,1512.241088,0.09994998365401588,7.4,0.0,64.7,0.0,310572.5,0.0
Sat Jul 06 22:00:00 EDT 1985,1513.754842,0.10010004436541686,7.4,0.0,64.7,0.0,310572.5,0.0
Sun Jul 07 22:00:00 EDT 1985,1515.268596,0.09999994437671533,7.4,0.0,64.7,0.0,310572.5,0.0
Mon Jul 08 22:00:00 EDT 1985,1516.78235,0.09990004438791013,7.4,0.0,64.7,0.0,310572.5,0.0
Tue Jul 09 22:00:00 EDT 1985,1518.299132,0.09999997692484676,7.4,0.0,64.7,0.0,310572.5,0.0
Wed Jul 10 22:00:00 EDT 1985,1519.817431,0.09999999130605064,7.4,0.0,64.7,0.0,303454.6,-2.2918642184997133
Thu Jul 11 22:00:00 EDT 1985,1521.337249,0.10000003743870646,7.4,0.0,64.7,0.0,303454.6,0.0
Fri Jul 12 22:00:00 EDT 1985,1522.858586,0.09999998363282897,7.4,0.0,64.7,0.0,303454.6,0.0
Sat Jul 13 22:00:00 EDT 1985,1524.3829680000001,0.10010003647180798,7.4,0.0,64.7,0.0,303454.6,0.0
Sun Jul 14 22:00:00 EDT 1985,1525.90735,0.09999993649888589,7.4,0.0,64.7,0.0,303454.6,0.0
Mon Jul 15 22:00:00 EDT 1985,1527.431732,0.09990003652581264,7.4,0.0,64.7,0.0,303454.6,0.0
Tue Jul 16 22:00:00 EDT 1985,1528.959163,0.09999995207641652,7.4,0.0,64.7,0.0,303454.6,0.0
Wed Jul 17 22:00:00 EDT 1985,1530.488123,0.10000005474312967,7.4,0.0,64.7,0.0,307793.3,1.429769065949243
Thu Jul 18 22:00:00 EDT 1985,1532.018611,0.09999999196334028,7.4,0.0,64.7,0.0,307793.3,0.0
Fri Jul 19 22:00:00 EDT 1985,1533.550629,0.09999996011798497,7.4,0.0,64.7,0.0,307793.3,0.0
Sat Jul 20 22:00:00 EDT 1985,1535.0857136666666,0.1001000317588168,7.4,0.0,64.7,0.0,307793.3,0.0
Sun Jul 21 22:00:00 EDT 1985,1536.6207983333334,0.09999993179534569,7.4,0.0,64.7,0.0,307793.3,0.0
Mon Jul 22 22:00:00 EDT 1985,1538.155883,0.0999000318316357,7.4,0.0,64.7,0.0,307793.3,0.0
Tue Jul 23 22:00:00 EDT 1985,1539.694039,0.1000000076065159,7.4,0.0,64.7,0.0,307793.3,0.0
Wed Jul 24 22:00:00 EDT 1985,1541.233733,0.09999999746703274,7.4,0.0,64.7,0.0,298985.1,-2.861725710078813
Thu Jul 25 22:00:00 EDT 1985,1542.774967,0.10000001732378586,7.4,0.0,64.7,0.0,298985.1,0.0
Fri Jul 26 22:00:00 EDT 1985,1544.317742,0.10000000213899585,7.4,0.0,64.7,0.0,298985.1,0.0
Sat Jul 27 22:00:00 EDT 1985,1545.8636046666666,0.10010003930050089,7.4,0.0,64.7,0.0,298985.1,0.0
Sun Jul 28 22:00:00 EDT 1985,1547.4094673333334,0.09999993932195385,7.4,0.0,64.7,0.0,298985.1,0.0
Mon Jul 29 22:00:00 EDT 1985,1548.95533,0.09990003934321333,7.4,0.0,64.7,0.0,298985.1,0.0
Tue Jul 30 22:00:00 EDT 1985,1550.504285,0.09999997869531707,7.4,0.0,64.7,0.0,298985.1,0.0
Wed Jul 31 22:00:00 EDT 1985,1552.054789,0.09999998161888642,7.4,0.0,64.7,0.0,308256.1,3.100823418959674
Thu Aug 01 22:00:00 EDT 1985,1553.606844,0.1000000135948733,7.1,-4.054054054054063,64.6,-0.15455950540959587,308256.1,0.0
Fri Aug 02 22:00:00 EDT 1985,1555.160451,0.10000001004115404,7.1,0.0,64.6,0.0,308256.1,0.0
Sat Aug 03 22:00:00 EDT 1985,1556.717167,0.10010002498449926,7.1,0.0,64.6,0.0,308256.1,0.0
Sun Aug 04 22:00:00 EDT 1985,1558.2738829999998,0.09999992503454058,7.1,0.0,64.6,0.0,308256.1,0.0
Mon Aug 05 22:00:00 EDT 1985,1559.830599,0.09990002508436134,7.1,0.0,64.6,0.0,308256.1,0.0
Tue Aug 06 22:00:00 EDT 1985,1561.39043,0.10000002570792184,7.1,0.0,64.6,0.0,308256.1,0.0
Wed Aug 07 22:00:00 EDT 1985,1562.95182,0.09999997246044823,7.1,0.0,64.6,0.0,297825.0,-3.3839070824551327
Thu Aug 08 22:00:00 EDT 1985,1564.514772,0.1000000115166695,7.1,0.0,64.6,0.0,297825.0,0.0
Fri Aug 09 22:00:00 EDT 1985,1566.079287,0.10000001457321035,7.1,0.0,64.6,0.0,297825.0,0.0
Sat Aug 10 22:00:00 EDT 1985,1567.646933,0.10010004046493515,7.1,0.0,64.6,0.0,297825.0,0.0
Sun Aug 11 22:00:00 EDT 1985,1569.214579,0.0999999404840457,7.1,0.0,64.6,0.0,297825.0,0.0
Mon Aug 12 22:00:00 EDT 1985,1570.782225,0.09990004050299917,7.1,0.0,64.6,0.0,297825.0,0.0
Tue Aug 13 22:00:00 EDT 1985,1572.353007,0.09999998567592706,7.1,0.0,64.6,0.0,297825.0,0.0
Wed Aug 14 22:00:00 EDT 1985,1573.92536,0.0999999995548087,7.1,0.0,64.6,0.0,304766.8,2.330831864349866
Thu Aug 15 22:00:00 EDT 1985,1575.499285,0.09999997712726001,7.1,0.0,64.6,0.0,304766.8,0.0
Fri Aug 16 22:00:00 EDT 1985,1577.074784,0.09999998191048425,7.1,0.0,64.6,0.0,304766.8,0.0
Sat Aug 17 22:00:00 EDT 1985,1578.6534366666665,0.10010005122665032,7.1,0.0,64.6,0.0,304766.8,0.0
Sun Aug 18 22:00:00 EDT 1985,1580.232089333333,0.09999995122424822,7.1,0.0,64.6,0.0,304766.8,0.0
Mon Aug 19 22:00:00 EDT 1985,1581.810742,0.09990005122176787,7.1,0.0,64.6,0.0,304766.8,0.0
Tue Aug 20 22:00:00 EDT 1985,1583.392552,0.09999995309174176,7.1,0.0,64.6,0.0,304766.8,0.0
Wed Aug 21 22:00:00 EDT 1985,1584.975945,0.10000002829367151,7.1,0.0,64.6,0.0,299194.3,-1.8284471930669615
Thu Aug 22 22:00:00 EDT 1985,1586.560921,0.10000000347009035,7.1,0.0,64.6,0.0,299194.3,0.0
Fri Aug 23 22:00:00 EDT 1985,1588.147482,0.10000000497932812,7.1,0.0,64.6,0.0,299194.3,0.0
Sat Aug 24 22:00:00 EDT 1985,1589.737218,0.10010002333019487,7.1,0.0,64.6,0.0,299194.3,0.0
Sun Aug 25 22:00:00 EDT 1985,1591.3269540000001,0.09999992338357207,7.1,0.0,64.6,0.0,299194.3,0.0
Mon Aug 26 22:00:00 EDT 1985,1592.91669,0.09990002343666093,7.1,0.0,64.6,0.0,299194.3,0.0
Tue Aug 27 22:00:00 EDT 1985,1594.509607,0.1000000194611523,7.1,0.0,64.6,0.0,299194.3,0.0
Wed Aug 28 22:00:00 EDT 1985,1596.104117,0.10000002464708434,7.1,0.0,64.6,0.0,304724.4,1.8483306667272856
Thu Aug 29 22:00:00 EDT 1985,1597.700221,0.09999999266964915,7.1,0.0,64.6,0.0,304724.4,0.0
Fri Aug 30 22:00:00 EDT 1985,1599.297921,0.09999998616761983,7.1,0.0,64.6,0.0,304724.4,0.0
Sat Aug 31 22:00:00 EDT 1985,1600.8996195,0.10015010205217942,7.1,0.0,64.6,0.0,304724.4,0.0
Sun Sep 01 22:00:00 EDT 1985,1602.501318,0.10004990197326433,7.1,0.0,64.9,0.46439628482973905,304724.4,0.0
Mon Sep 02 22:00:00 EDT 1985,1604.1030165000002,0.09994990219409676,7.1,0.0,64.9,0.0,304724.4,0.0
Tue Sep 03 22:00:00 EDT 1985,1605.704715,0.09985010211467824,7.1,0.0,64.9,0.0,304724.4,0.0
Wed Sep 04 22:00:00 EDT 1985,1607.310419,0.0999999554712544,7.1,0.0,64.9,0.0,306435.1,0.5613925238674531
Thu Sep 05 22:00:00 EDT 1985,1608.91773,0.10000003614734122,7.1,0.0,64.9,0.0,306435.1,0.0
